cluster_id,name,articles,T_prod,I_prod,F_prod,T_cite,I_cite,F_cite,T_coauth,I_coauth,F_coauth,T_theory,I_theory,F_theory,T_agg,I_agg,F_agg,score,rank_classical,rank_neutro,rank_change
598,Milena Elizabeth Álvarez Tapia,4,0.198,0.485,0.318,0.0,0.5,0.5,0.197,0.379,0.425,0.0,0.25,0.75,0.10417644402804127,0.3893343663746493,0.4744733557293333,0.4134562406413529,52,107,-55
746,Bolívar David Narváez Montenegro,5,0.259,0.5,0.241,0.0,0.5,0.5,0.147,0.409,0.444,0.0,0.4,0.6,0.10835534695089621,0.4497082211407379,0.42328250319830724,0.4117882075372836,35,108,-73
1208,"Guerra, Darvin Manuel Ramírez",5,0.259,0.5,0.241,0.0,0.5,0.5,0.057,0.467,0.476,0.0,0.2,0.8,0.08571314680522912,0.3909054462390633,0.4628294619219318,0.41065941288141133,35,109,-74
951,Fidel Robinson Jay,4,0.198,0.485,0.318,0.0,0.5,0.5,0.197,0.379,0.425,0.0,0.75,0.25,0.10417644402804127,0.5123928419350006,0.36052178757401,0.41042060483967696,52,110,-58
531,Salomón Alejandro Montece Giler,4,0.198,0.485,0.318,0.0,0.5,0.5,0.168,0.396,0.436,0.0,0.25,0.75,0.09619565796642604,0.3936286804888597,0.47751412124451187,0.40835095207768485,52,111,-59
1041,Iyo Alexis Cruz Piza,6,0.332,0.485,0.184,0.0,0.5,0.5,0.03,0.481,0.488,0.0,0.5,0.5,0.10280457785843056,0.49142438848489234,0.38707436805170176,0.4081019404406121,20,112,-92
902,Eugenio Javier Escobar Gonzáles,3,0.148,0.441,0.411,0.0,0.5,0.5,0.236,0.354,0.41,0.0,0.667,0.333,0.10177893037333696,0.477677100964517,0.4092700637267087,0.4049439218940371,87,113,-26
372,Roberto Javier Aguilar Berrezueta,3,0.148,0.441,0.411,0.0,0.5,0.5,0.236,0.354,0.41,0.0,0.333,0.667,0.10177893037333696,0.4015263235477754,0.4868894667357369,0.4044543800299416,87,114,-27
970,Jorge David Morales Cobos,5,0.259,0.5,0.241,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.2,0.8,0.07219960801092928,0.39763536438352526,0.4685562762369121,0.4020026557968306,35,115,-80
829,Jorge Alfredo Eras Díaz,4,0.198,0.485,0.318,0.0,0.5,0.5,0.168,0.396,0.436,0.0,0.5,0.5,0.09619565796642604,0.46810602750648467,0.43148271670853533,0.39886897125046866,52,116,-64
792,Carlos Alejandro Troya Altamirano,4,0.198,0.485,0.318,0.0,0.5,0.5,0.112,0.431,0.457,0.0,0.25,0.75,0.08135686629515726,0.4020520264727021,0.483162975269621,0.3987139548509448,52,117,-65
847,José Ignacio Cruz Arboleda,4,0.198,0.485,0.318,0.0,0.5,0.5,0.131,0.419,0.45,0.0,0.75,0.25,0.08631070642765748,0.5254080921163381,0.36571048487971,0.3983973764772031,52,118,-66
848,Diego Xavier Chamorro Valencia,5,0.259,0.5,0.241,0.0,0.5,0.5,0.044,0.473,0.483,0.0,0.4,0.6,0.08257826523853662,0.46635354797547685,0.43228618543521,0.39464617727594997,35,119,-84
923,Clara Elisa Pozo Hernández,4,0.198,0.485,0.318,0.0,0.5,0.5,0.079,0.454,0.467,0.0,0.25,0.75,0.07293859862617436,0.4073117147931764,0.48578468286173504,0.39328073365708754,52,120,-68
