cluster_id,name,articles,T_prod,I_prod,F_prod,T_cite,I_cite,F_cite,T_coauth,I_coauth,F_coauth,T_theory,I_theory,F_theory,T_agg,I_agg,F_agg,score,rank_classical,rank_neutro,rank_change
561,Olga Mireya Alonzo Pico,3,0.148,0.441,0.411,0.0,0.5,0.5,0.157,0.403,0.44,0.0,0.0,1.0,0.0794088572196393,0.003070283014436071,0.5483604519231389,0.5093260407606881,87,50,37
996,Alex Ramón Valencia Herrera,4,0.198,0.485,0.318,0.0,0.375,0.625,0.098,0.439,0.463,0.0,0.0,1.0,0.07775730004414827,0.002989230340326824,0.5507722263578443,0.5079986144486591,52,51,1
534,Nemis García Arias,6,0.332,0.485,0.184,0.0,0.5,0.5,0.495,0.216,0.289,0.0,0.833,0.167,0.23789122892386227,0.4570383296984814,0.2581371645369021,0.5075719115628262,20,52,-32
1017,Mónica Sofía Pallo Sarabia,4,0.198,0.485,0.318,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.05366785653967798,0.0033183365972686706,0.5309966512111293,0.50645095624376,52,53,-1
560,Melba Esperanza Narváez Jaramillo,3,0.148,0.441,0.411,0.0,0.5,0.5,0.131,0.419,0.45,0.0,0.0,1.0,0.07239123726149788,0.0031003138055252536,0.5514499288155719,0.5059469982134669,87,54,33
913,Génesis Ariana Loayza Zambrano,3,0.148,0.441,0.411,0.0,0.5,0.5,0.632,0.132,0.236,0.0,0.333,0.667,0.25170670611907475,0.3137665840594127,0.4240942808313843,0.5046152804094259,87,55,32
315,Oscar David Salazar Correa,3,0.148,0.441,0.411,0.0,0.5,0.5,0.079,0.451,0.47,0.0,0.0,1.0,0.05881541399181489,0.003157884807793084,0.5574775991617226,0.4993933100074332,87,56,31
817,Jeannette Amparito Urrutia Guevara,9,0.587,0.303,0.11,0.0,0.556,0.444,0.157,0.406,0.437,0.0,0.333,0.667,0.23185288043794283,0.3884829131853248,0.3454186094776947,0.49931711925830774,9,57,-48
1173,"Noel, Batista Hernández",3,0.148,0.441,0.411,0.0,0.5,0.5,0.079,0.451,0.47,0.0,1.0,0.0,0.05881541399181489,0.5615601532973162,0.0031349269187653734,0.4980401112585779,87,58,29
398,Nancy Yolanda Urbina Romo,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.0,1.0,0.05551162359336148,0.003173522679760886,0.558954373950364,0.49779457565441226,87,59,28
826,Roberto Alexander Benavides Morillo,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.0,1.0,0.05551162359336148,0.003173522679760886,0.558954373950364,0.49779457565441226,87,59,28
921,María José Calderón Velásquez,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.0,1.0,0.05551162359336148,0.003173522679760886,0.558954373950364,0.49779457565441226,87,59,28
869,Gloria Rebeca Medina Naranjo,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.0,1.0,0.05551162359336148,0.003173522679760886,0.558954373950364,0.49779457565441226,87,59,28
1081,Samantha de los Ángeles Vásquez Barberán,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.0,1.0,0.05551162359336148,0.003173522679760886,0.558954373950364,0.49779457565441226,87,59,28
402,Esteban Fernando López Espinel,3,0.148,0.441,0.411,0.0,0.5,0.5,0.056,0.465,0.479,0.0,1.0,0.0,0.05299363703950988,0.565868327724317,0.003149827968247012,0.4946584937823153,87,64,23
831,Geovanny Leopoldo Borja Martínez,9,0.587,0.303,0.11,0.0,0.5,0.5,0.037,0.479,0.484,0.0,0.222,0.778,0.20586546202963385,0.3562667403032239,0.37935596039149216,0.4900809204449726,9,65,-56
871,Mónica Alexandra Salame Ortiz,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.03925109453479547,0.00324037034920393,0.5661681803991567,0.48994751459547814,87,66,21
1055,Christian David Zapata-Hidalgo,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.03925109453479547,0.00324037034920393,0.5661681803991567,0.48994751459547814,87,66,21
1112,Luis Fernando Pérez Solís,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.03925109453479547,0.00324037034920393,0.5661681803991567,0.48994751459547814,87,66,21
873,Ruth Alexandra Ramos Villacís,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.03925109453479547,0.00324037034920393,0.5661681803991567,0.48994751459547814,87,66,21
603,Janeth Ximena Iglesias Quintana,9,0.587,0.303,0.11,0.067,0.544,0.389,0.017,0.489,0.493,0.0,0.333,0.667,0.21549393907759673,0.4047609953439484,0.3444123847739102,0.48877351965324595,9,70,-61
1136,Iruma Alfonso González,4,0.198,0.485,0.318,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.05366785653967798,0.5900929646501498,0.0029860136051370403,0.48686295942813046,52,71,-19
753,Diego Armando Freire Muñoz,4,0.198,0.485,0.318,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.05366785653967798,0.5900929646501498,0.0029860136051370403,0.48686295942813046,52,71,-19
499,Diego Paúl Palma Rivera,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.03925109453479547,0.5762283872889983,0.0031837976484627045,0.4866129698657781,87,73,14
781,Estalin Rene Portilla Paguay,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.03925109453479547,0.5762283872889983,0.0031837976484627045,0.4866129698657781,87,73,14
734,Paulina Elizabeth Salas Medina,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.03925109453479547,0.5762283872889983,0.0031837976484627045,0.4866129698657781,87,73,14
1287,Zoila Mirella Mariscal Rosado,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.03925109453479547,0.5762283872889983,0.0031837976484627045,0.4866129698657781,87,73,14
1315,Neilys González Benítez,4,0.198,0.485,0.318,0.0,0.5,0.5,0.044,0.473,0.483,0.5,0.25,0.25,0.2131343877310472,0.4115079435950367,0.3722383084123581,0.4764627119078842,52,77,-25
634,Cristian Fernando Benavides Salazar,8,0.5,0.377,0.123,0.0,0.5,0.5,0.139,0.422,0.439,0.0,0.5,0.5,0.18998457580312422,0.446579159975873,0.3408610755942561,0.46751478007766506,13,78,-65
1294,"Aguilar, Wilber Ortiz",3,0.148,0.441,0.411,0.0,0.625,0.375,0.0,0.5,0.5,0.5,0.25,0.25,0.1921096892334071,0.4308312083188366,0.3725596145919645,0.462906288774202,87,79,8
