volume,year,pages_start,pages_end,pdf_url,title,authors_raw,doi,doi_url,source_text
42,2026,328,347,https://fs.unm.edu/NCML/21-328-347AnalisisCumplimientoObligacionesContables.pdf,"Análisis del Cumplimiento de Obligaciones Contables en Negocios Populares: Evidencia Empírica de la Parroquia San Lorenzo, Jipijapa","Ginger Elizabeth Salazar Pin, Monica Virginia Choez Pérez",10.5281/zenodo.18991384,https://doi.org/10.5281/zenodo.18991384,"Ginger Elizabeth Salazar Pin, Monica Virginia Choez Pérez: Análisis del Cumplimiento de Obligaciones Contables en Negocios Populares: Evidencia Empírica de la Parroquia San Lorenzo, Jipijapa, Neutrosophic Computing and Machine Learning, Vol. 42, 328-347, 2026. DOI: https://doi.org/10.5281/zenodo.18991384"
42,2026,348,365,https://fs.unm.edu/NCML/22-348-365PercepcionProgramacionFinancieraSostenibilidad.pdf,Percepción de la Programación Financiera y su Influencia en la Sostenibilidad Económica de GAD Parroquiales: Caso La Unión,"Gloria Pascuala Chiquito Tigua, Suying Nicoll Yagual Jaime",10.5281/zenodo.18991653,https://doi.org/10.5281/zenodo.18991653,"Gloria Pascuala Chiquito Tigua, Suying Nicoll Yagual Jaime: Percepción de la Programación Financiera y su Influencia en la Sostenibilidad Económica de GAD Parroquiales: Caso La Unión, Neutrosophic Computing and Machine Learning, Vol. 42, 348-365, 2026. DOI: https://doi.org/10.5281/zenodo.18991653"
42,2026,366,377,https://fs.unm.edu/NCML/23-366-377FormulacionValidacionHipotesisPlitogenicas.pdf,Formulación y Validación de Hipótesis Plitogénicas Neutrosóficas para la Predicción de Eficiencia en Subasta Inversa Electrónica tras Reformas Ley Contratación Pública Ecuador,"Elio Jorge Fischer Romero, Bryan Andres Romero Vaca, Willian Paul Aviles Quiñonez, Glen Freddy Robayo Cabrera",10.5281/zenodo.19075590,https://doi.org/10.5281/zenodo.19075590,"Elio Jorge Fischer Romero, Bryan Andres Romero Vaca, Willian Paul Aviles Quiñonez, Glen Freddy Robayo Cabrera: Formulación y Validación de Hipótesis Plitogénicas Neutrosóficas para la Predicción de Eficiencia en Subasta Inversa Electrónica tras Reformas Ley Contratación Pública Ecuador, Neutrosophic Computing and Machine Learning, Vol. 42, 366-377, 2026. DOI: https://doi.org/10.5281/zenodo.19075590"
42,2026,378,386,https://fs.unm.edu/NCML/24-378-386SistemaSeleccionEstrategiasRecuperacionDesastres2.pdf,Sistema de Selección de Estrategias de Recuperación ante Desastres (SS‑ERD): AHP-TOPSIS y SVNS con Cadena de Expertos para Continuidad del Negocio,"Maico Alexander Almeida Almeida, Laura Eledina Gutierrez Merchan",10.5281/zenodo.19078554,https://doi.org/10.5281/zenodo.19078554,"Maico Alexander Almeida Almeida, Laura Eledina Gutierrez Merchan: Sistema de Selección de Estrategias de Recuperación ante Desastres (SS‑ERD): AHP-TOPSIS y SVNS con Cadena de Expertos para Continuidad del Negocio, Neutrosophic Computing and Machine Learning, Vol. 42, 378-386, 2026. DOI: https://doi.org/10.5281/zenodo.19078554"
42,2026,387,394,https://fs.unm.edu/NCML/25-387-394MarcoNeutrosoficoAHPTOPSISCiberdefensa.pdf,Marco Neutrosófico AHP-TOPSIS Para El Diseño De Estrategias De Ciberdefensa Empresarial Basadas En Controles Críticos De La ISO/IEC 27001: Un Enfoque De Cadena De Expertos,Janner Steeven Guagua Alcivar,10.5281/zenodo.19078832,https://doi.org/10.5281/zenodo.19078832,"Janner Steeven Guagua Alcivar: Marco Neutrosófico AHP-TOPSIS Para El Diseño De Estrategias De Ciberdefensa Empresarial Basadas En Controles Críticos De La ISO/IEC 27001: Un Enfoque De Cadena De Expertos, Neutrosophic Computing and Machine Learning, Vol. 42, 387-394, 2026. DOI: https://doi.org/10.5281/zenodo.19078832"
42,2026,395,401,https://fs.unm.edu/NCML/26-395-401SeleccionNeutrosoficoModelosLenguajeLLM.pdf,Selección Neutrosófica de Modelos de Lenguaje (LLM) para la Automatización de Centros de Operaciones de Seguridad (SOC),Guaranga Naranjo Lady Nicole,10.5281/zenodo.19080256,https://doi.org/10.5281/zenodo.19080256,"Guaranga Naranjo Lady Nicole: Selección Neutrosófica de Modelos de Lenguaje (LLM) para la Automatización de Centros de Operaciones de Seguridad (SOC), Neutrosophic Computing and Machine Learning, Vol. 42, 395-401, 2026. DOI: https://doi.org/10.5281/zenodo.19080256"
42,2026,402,411,https://fs.unm.edu/NCML/27-402-411SeleccionModeloGobernanzaDatosPresupuestarios.pdf,Selección de un Modelo de Gobernanza de Datos Presupuestarios mediante los Métodos AHP y TOPSIS. Caso del GAD Municipal de Francisco de Orellana,"Cabrera Frias Vilma Monserrat, Calapucha Grefa Lesly Estefany, Calderón García Teresa Abigail, Serrano Vargas Rebeca Estefanía",10.5281/zenodo.19080474,https://doi.org/10.5281/zenodo.19080474,"Cabrera Frias Vilma Monserrat, Calapucha Grefa Lesly Estefany, Calderón García Teresa Abigail, Serrano Vargas Rebeca Estefanía: Selección de un Modelo de Gobernanza de Datos Presupuestarios mediante los Métodos AHP y TOPSIS. Caso del GAD Municipal de Francisco de Orellana, Neutrosophic Computing and Machine Learning, Vol. 42, 402-411, 2026. DOI: https://doi.org/10.5281/zenodo.19080474"
41,2025,1,30,https://fs.unm.edu/NCML/1-1-30IterativeMultiFuzzySetIterativeMultiNeutrosophic.pdf,"Iterative MultiFuzzy Set, Iterative MultiNeutrosophic Set, Iterative Multisoft set, and MultiPlithogenic Sets","Takaaki Fujita, Arif Mehmood",10.5281/zenodo.17247347,https://doi.org/10.5281/zenodo.17247347,"Takaaki Fujita, Arif Mehmood: Iterative MultiFuzzy Set, Iterative MultiNeutrosophic Set, Iterative Multisoft set, and MultiPlithogenic Sets, Neutrosophic Computing and Machine Learning, Vol. 41, 1-30, 2025. DOI: https://doi.org/10.5281/zenodo.17247347"
41,2025,31,36,https://fs.unm.edu/NCML/2-31-36Atenci%C3%B3neducandosbajos%20resultados.pdf,Atención A Educandos Con Bajos Resultados En El Aprendizaje: Desafío Para El Desempeño Profesional Docente,"Araíz Maturell Aguilera, Niurka Velázquez Fombellida",10.5281/zenodo.17247940,https://doi.org/10.5281/zenodo.17247940,"Araíz Maturell Aguilera, Niurka Velázquez Fombellida: Atención A Educandos Con Bajos Resultados En El Aprendizaje: Desafío Para El Desempeño Profesional Docente, Neutrosophic Computing and Machine Learning, Vol. 41, 31-36, 2025. DOI: https://doi.org/10.5281/zenodo.17247940"
41,2025,37,45,https://fs.unm.edu/NCML/../../NCML.41.SI.2026/3-37-45Gesti%C3%B3nriesgosemprendimientosminoristas.pdf,Gestión de riesgos en emprendimientos minoristas agro comerciales en Manabí mediante AHP-TOPSIS,Rosa Cristina Giler Zambrano,10.5281/zenodo.17254692,https://doi.org/10.5281/zenodo.17254692,"Rosa Cristina Giler Zambrano: Gestión de riesgos en emprendimientos minoristas agro comerciales en Manabí mediante AHP-TOPSIS, Neutrosophic Computing and Machine Learning, Vol. 41, 37-45, 2025. DOI: https://doi.org/10.5281/zenodo.17254692"
41,2025,46,70,https://fs.unm.edu/NCML/4-46-70FuzzyToleranceHypergraphsFuzzyToleranceSuperHypergraphs%20%281%29.pdf,Fuzzy Tolerance Hypergraphs and Fuzzy Tolerance Superhypergraphs,"Takaaki Fujita, Arif Mehmood",10.5281/zenodo.17254700,https://doi.org/10.5281/zenodo.17254700,"Takaaki Fujita, Arif Mehmood: Fuzzy Tolerance Hypergraphs and Fuzzy Tolerance Superhypergraphs, Neutrosophic Computing and Machine Learning, Vol. 41, 46-70, 2025. DOI: https://doi.org/10.5281/zenodo.17254700"
41,2025,71,78,https://fs.unm.edu/NCML/5-71-78An%C3%A1lisis%20EstrategiasMitigaciRiesgos.pdf,Análisis de Estrategias de Mitigación de Riesgos en el Sector Retail. Aplicación de Métodos AHP y TOPSIS,"Jonathan Vera Macias, Fernando Eduardo Alvarado Véliz, Marco Antonio Arguello Arguello",10.5281/zenodo.17263068,https://doi.org/10.5281/zenodo.17263068,"Jonathan Vera Macias, Fernando Eduardo Alvarado Véliz, Marco Antonio Arguello Arguello: Análisis de Estrategias de Mitigación de Riesgos en el Sector Retail. Aplicación de Métodos AHP y TOPSIS, Neutrosophic Computing and Machine Learning, Vol. 41, 71-78, 2025. DOI: https://doi.org/10.5281/zenodo.17263068"
41,2025,79,98,https://fs.unm.edu/NCML/6-79-98conductasdisruptivasni%C3%B1os.pdf,Análisis Neutrosófico de las Conductas Disruptivas en Niños de 6 a 8 Años y su Impacto en el Rendimiento Académico: Aplicación del Método de Hipótesis Plitogénica,"María Leonor Atiencie Gutiérrez, Natalia Elizabeth Lojano Patiño, Erika Gabriela Alava Jimènez, Cindy Gabriela Ortega Garcia",10.5281/zenodo.17373916,https://doi.org/10.5281/zenodo.17373916,"María Leonor Atiencie Gutiérrez, Natalia Elizabeth Lojano Patiño, Erika Gabriela Alava Jimènez, Cindy Gabriela Ortega Garcia: Análisis Neutrosófico de las Conductas Disruptivas en Niños de 6 a 8 Años y su Impacto en el Rendimiento Académico: Aplicación del Método de Hipótesis Plitogénica, Neutrosophic Computing and Machine Learning, Vol. 41, 79-98, 2025. DOI: https://doi.org/10.5281/zenodo.17373916"
41,2025,99,112,https://fs.unm.edu/NCML/7-99-112FomentoComprensi%C3%B3nLectora.pdf,Fomento de la Comprensión Lectora en Cuarto Grado desde la Psicología Neutrosófica en Plataformas Digitales,"Byron Leonardo Sarango Ramos, Yadyra de la Caridad Piñera Concepción, Wilber Ortiz Aguilar, Roger Martinez Isaac",10.5281/zenodo.17374286,https://doi.org/10.5281/zenodo.17374286,"Byron Leonardo Sarango Ramos, Yadyra de la Caridad Piñera Concepción, Wilber Ortiz Aguilar, Roger Martinez Isaac: Fomento de la Comprensión Lectora en Cuarto Grado desde la Psicología Neutrosófica en Plataformas Digitales, Neutrosophic Computing and Machine Learning, Vol. 41, 99-112, 2025. DOI: https://doi.org/10.5281/zenodo.17374286"
41,2025,113,125,https://fs.unm.edu/NCML/8-113-125LaNeutrosof%C3%ADaInteligenciaArtificial.pdf,La Neutrosofía en la Inteligencia Artificial: Avances y Aplicaciones,"Dr. Florentin Smarandache, Dr. Maikel Leyva-Vázquez, Dr. Mohamed Abdel-Basset",10.5281/zenodo.17402872,https://doi.org/10.5281/zenodo.17402872,"Dr. Florentin Smarandache, Dr. Maikel Leyva-Vázquez, Dr. Mohamed Abdel-Basset: La Neutrosofía en la Inteligencia Artificial: Avances y Aplicaciones, Neutrosophic Computing and Machine Learning, Vol. 41, 113-125, 2025. DOI: https://doi.org/10.5281/zenodo.17402872"
41,2025,126,142,https://fs.unm.edu/NCML/9-126-142An%C3%A1lisisRiesgoCrediticioEntidadesFinancierasEcuatorianas.pdf,Análisis del Riesgo Crediticio de Entidades Financieras Ecuatorianas: Un Enfoque Descriptivo y Predictivo Integrado con Machine Learning y Business Intelligence,"Johanna Maribel Pando Farez, Paola Dayanara Ramírez Carrión",10.5281/zenodo.17459985,https://doi.org/10.5281/zenodo.17459985,"Johanna Maribel Pando Farez, Paola Dayanara Ramírez Carrión: Análisis del Riesgo Crediticio de Entidades Financieras Ecuatorianas: Un Enfoque Descriptivo y Predictivo Integrado con Machine Learning y Business Intelligence, Neutrosophic Computing and Machine Learning, Vol. 41, 126-142, 2025. DOI: https://doi.org/10.5281/zenodo.17459985"
41,2025,143,171,https://fs.unm.edu/NCML/10-143-171ActorHypernetworksurbanHypernetworks.pdf,Actor Hypernetworks and Urban Road Hypernetworks with Real-life Applications,"Takaaki Fujita, Arif Mehmood",10.5281/zenodo.17586126,https://doi.org/10.5281/zenodo.17586126,"Takaaki Fujita, Arif Mehmood: Actor Hypernetworks and Urban Road Hypernetworks with Real-life Applications, Neutrosophic Computing and Machine Learning, Vol. 41, 143-171, 2025. DOI: https://doi.org/10.5281/zenodo.17586126"
41,2025,172,190,https://fs.unm.edu/NCML/11-172-190An%C3%A1lisisdatosidentificarpatrones.pdf,Análisis de datos para identificar patrones operativos una terminal portuaria de Guayaquil: Estudio de caso (2024-2025),"Victor Varela Lozano, Pedro Rodríguez Jarama",10.5281/zenodo.17586150,https://doi.org/10.5281/zenodo.17586150,"Victor Varela Lozano, Pedro Rodríguez Jarama: Análisis de datos para identificar patrones operativos una terminal portuaria de Guayaquil: Estudio de caso (2024-2025), Neutrosophic Computing and Machine Learning, Vol. 41, 172-190, 2025. DOI: https://doi.org/10.5281/zenodo.17586150"
41,2025,191,212,https://fs.unm.edu/NCML/12-191-212FormalizingContextualTruthFlips.pdf,Formalizing Contextual Truth Flips: Upside-Down Logic and Its Variants,"Takaaki Fujita, Arif Mehmood",10.5281/zenodo.17586163,https://doi.org/10.5281/zenodo.17586163,"Takaaki Fujita, Arif Mehmood: Formalizing Contextual Truth Flips: Upside-Down Logic and Its Variants, Neutrosophic Computing and Machine Learning, Vol. 41, 191-212, 2025. DOI: https://doi.org/10.5281/zenodo.17586163"
41,2025,213,220,https://fs.unm.edu/NCML/13-213-220Laintegraci%C3%B3nperspectivascontradictorias.pdf,La integración de perspectivas contradictorias en la filosofía latinoamericana: Un enfoque MultiAlisista,"Maikel Leyva Vázquez, Florentin Smarandache",10.5281/zenodo.17586185,https://doi.org/10.5281/zenodo.17586185,"Maikel Leyva Vázquez, Florentin Smarandache: La integración de perspectivas contradictorias en la filosofía latinoamericana: Un enfoque MultiAlisista, Neutrosophic Computing and Machine Learning, Vol. 41, 213-220, 2025. DOI: https://doi.org/10.5281/zenodo.17586185"
