doi,pdf_url,local_path,status,size,info
10.5281/zenodo.15601748,https://fs.unm.edu/NCML/29.%20delitodeacosocibernetico.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15601748.pdf,exists,418831,
10.5281/zenodo.18932284,https://fs.unm.edu/NCML/16-259-268ArquitecturaInstitucionalOptimizarPlanificacion.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18932284.pdf,exists,480587,
10.5281/zenodo.15200431,https://fs.unm.edu/NCML/5.procedibilidadmedidas.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200431.pdf,exists,444176,
10.5281/zenodo.17594161,https://fs.unm.edu/NCML/14-221-232Innovaci%C3%B3nserviciosp%C3%BAblicosdigitales.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17594161.pdf,exists,665703,
10.5281/zenodo.17050674,https://fs.unm.edu/NCML/5.VisualizacionMultidimensional.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17050674.pdf,exists,690329,
10.5281/zenodo.16917029,https://fs.unm.edu/NCML/17.MetodoNeutrosoficoTeoriaPena.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16917029.pdf,exists,500467,
10.5281/zenodo.17220665,https://fs.unm.edu/NCML/26.AnalisisIntegralRiesgos.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17220665.pdf,exists,767434,
10.5281/zenodo.15633268,https://fs.unm.edu/NCML/7.%20GradosDePertenencia.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15633268.pdf,exists,372661,
10.5281/zenodo.15601728,https://fs.unm.edu/NCML/28.%20evaluaciondelrendimiento.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15601728.pdf,exists,518818,
10.5281/zenodo.18932300,https://fs.unm.edu/NCML/17-269-281EvaluacionEficienciaPlanAnualContratacion.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18932300.pdf,exists,911403,
10.5281/zenodo.15200423,https://fs.unm.edu/NCML/4.AnalysisDistribution.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200423.pdf,exists,356726,
10.5281/zenodo.17586185,https://fs.unm.edu/NCML/13-213-220Laintegraci%C3%B3nperspectivascontradictorias.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17586185.pdf,exists,460567,
10.5281/zenodo.17049898,https://fs.unm.edu/NCML/4.PriorizacionEstrategiasReclutamiento.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17049898.pdf,exists,952053,
10.5281/zenodo.16917021,https://fs.unm.edu/NCML/16.AnalisisClusteringNeutrosofico.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16917021.pdf,exists,384980,
10.5281/zenodo.17204311,https://fs.unm.edu/NCML/25.AnalisisConfiguracionesCausales.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17204311.pdf,exists,614193,
10.5281/zenodo.19078554,https://fs.unm.edu/NCML/24-378-386SistemaSeleccionEstrategiasRecuperacionDesastres2.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.19078554.pdf,exists,943959,
10.5281/zenodo.15577042,https://fs.unm.edu/NCML/6.%20ventadigital.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15577042.pdf,exists,374760,
10.5281/zenodo.15200407,https://fs.unm.edu/NCML/3.debidaproteccionadolescentes.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200407.pdf,exists,397549,
10.5281/zenodo.17042139,https://fs.unm.edu/NCML/3.EffectivenessContradictionValues.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17042139.pdf,exists,457437,
10.5281/zenodo.16917012,https://fs.unm.edu/NCML/15.ReparacionIntegralVictimas.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16917012.pdf,exists,536469,
10.5281/zenodo.17204304,https://fs.unm.edu/NCML/24.MapasCognitivosDifusos.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17204304.pdf,exists,788341,
10.5281/zenodo.17586163,https://fs.unm.edu/NCML/12-191-212FormalizingContextualTruthFlips.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17586163.pdf,exists,345527,
10.5281/zenodo.15597465,https://fs.unm.edu/NCML/26.%20eutanasiaysuinfluencia.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15597465.pdf,exists,403169,
10.5281/zenodo.18330231,https://fs.unm.edu/NCML/11-178-204InteligenciaArtificialHerramientaTecnodidactica.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18330231.pdf,exists,1134686,
10.5281/zenodo.18307265,https://fs.unm.edu/NCML/10-167-177NeutrosophicAnalysisCompetingHypotheses.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18307265.pdf,exists,817711,
10.5281/zenodo.15200402,https://fs.unm.edu/NCML/2.AnalysisPeopleMissingEcuador.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200402.pdf,exists,319339,
10.5281/zenodo.17042133,https://fs.unm.edu/NCML/2.SuperHyperGraphAttention.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17042133.pdf,exists,367487,
10.5281/zenodo.18905720,https://fs.unm.edu/NCML/19-297-314AnalisisViabilidadFinancieraProyectosInnovadores.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18905720.pdf,exists,978939,
10.5281/zenodo.18276679,https://fs.unm.edu/NCML/6-98-107AnalisisPredictivo%20SalariosDesarrolladoresLatinoamericanos.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18276679.pdf,exists,1225150,
10.5281/zenodo.17156903,https://fs.unm.edu/NCML/23.FundamentosGeometriaNeutrosofica.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17156903.pdf,exists,1041254,
10.5281/zenodo.17586150,https://fs.unm.edu/NCML/11-172-190An%C3%A1lisisdatosidentificarpatrones.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17586150.pdf,exists,1178309,
10.5281/zenodo.15597412,https://fs.unm.edu/NCML/25.%20evaluaciondelaexclusion.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15597412.pdf,exists,971637,
10.5281/zenodo.15200383,https://fs.unm.edu/NCML/1.neutrosophyoriginsapplications.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200383.pdf,exists,693372,
10.5281/zenodo.17042113,https://fs.unm.edu/NCML/1.ModeladoCausalViolencia.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17042113.pdf,exists,945587,
10.5281/zenodo.16916982,https://fs.unm.edu/NCML/13.ImpactoDeudaExterna.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16916982.pdf,exists,848586,
10.5281/zenodo.17156462,https://fs.unm.edu/NCML/22.AnalisisCompresivoViolencia.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17156462.pdf,exists,965019,
10.5281/zenodo.17586126,https://fs.unm.edu/NCML/10-143-171ActorHypernetworksurbanHypernetworks.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17586126.pdf,exists,423041,
10.5281/zenodo.15554037,https://fs.unm.edu/NCML/3.%20justiciarestaurativa.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15554037.pdf,exists,482778,
10.5281/zenodo.15597341,https://fs.unm.edu/NCML/24.%20paralelosalsistemapenal.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15597341.pdf,exists,1063588,
10.5281/zenodo.18905639,https://fs.unm.edu/NCML/15-246-258DeteccionPrevencionVinculosIndebidesProveedores.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18905639.pdf,exists,866305,
10.5281/zenodo.15617426,https://fs.unm.edu/NCML/45.%20principiodelinteressuperior.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15617426.pdf,exists,420997,
10.5281/zenodo.18215326,https://fs.unm.edu/NCML/30-447-461ModeloGesti%C3%B3nP%C3%BAblicaIntegrado.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18215326.pdf,exists,459997,
10.5281/zenodo.16916968,https://fs.unm.edu/NCML/12.AnalisisDiscrecionalidadPotestad.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16916968.pdf,exists,839727,
10.5281/zenodo.17149557,https://fs.unm.edu/NCML/21.PrediccionResultadosEducacion.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17149557.pdf,exists,817402,
10.5281/zenodo.17459985,https://fs.unm.edu/NCML/9-126-142An%C3%A1lisisRiesgoCrediticioEntidadesFinancierasEcuatorianas.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17459985.pdf,exists,1466860,
10.5281/zenodo.15548105,https://fs.unm.edu/NCML/2.%20adopcionhomoparental.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15548105.pdf,exists,578308,
10.5281/zenodo.15597282,https://fs.unm.edu/NCML/23.%20analisisjuridico.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15597282.pdf,exists,691833,
10.5281/zenodo.18209841,https://fs.unm.edu/NCML/29-428-446Selecci%C3%B3nHerramientasBusinessIntelligence.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18209841.pdf,exists,962525,
10.5281/zenodo.15617354,https://fs.unm.edu/NCML/44.%20morfologiafuncionalidad.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15617354.pdf,exists,838182,
10.5281/zenodo.15200552,https://fs.unm.edu/NCML/20amiloidosismediante.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200552.pdf,exists,649293,
10.5281/zenodo.18294378,https://fs.unm.edu/NCML/9-157-166SeleccionNeutrosofica%20AHPTOPSISProveedores.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18294378.pdf,exists,967031,
10.5281/zenodo.16916955,https://fs.unm.edu/NCML/11.MetodoNeutrosoficoMangaGastrica.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16916955.pdf,exists,472809,
10.5281/zenodo.17149495,https://fs.unm.edu/NCML/20.EstimacionCapacidadFertil.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17149495.pdf,exists,983628,
10.5281/zenodo.15633027,https://fs.unm.edu/NCML/1.OperadoresSobreSuperconjuntos.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15633027.pdf,exists,328047,
10.5281/zenodo.18209831,https://fs.unm.edu/NCML/28-399-427marcoAHP-TOPSISneutros%C3%B3ficoselecci%C3%B3nestrategiasiberseguridad.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18209831.pdf,exists,1148196,
10.5281/zenodo.15597248,https://fs.unm.edu/NCML/22.%20reinstauracionfideicomiso.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15597248.pdf,exists,445685,
10.5281/zenodo.15617326,https://fs.unm.edu/NCML/43.%20eficaciaadhesivaSistemas.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15617326.pdf,exists,389525,
10.5281/zenodo.15200548,https://fs.unm.edu/NCML/19.injertopediculado.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200548.pdf,exists,874193,
