cluster_id,name_canonical,articles,orcid,institutions,countries,name_variants,first_year,last_year
782,Lilian Fabiola Haro Terán,6,,,,"Haro Terán Lilian Fabiola ;; Haro Terán, Lilian Fabiola ;; Lilian Fabiola Haro Terán",2023,2025
434,Giovanna Fernanda Vinueza Arroyo,6,,,,Giovana Fernanda Vinueza Arroyo ;; Giovanna Fernanda Vinueza Arroyo,2023,2025
1041,Iyo Alexis Cruz Piza,6,0000-0002-9411-9672,,,"Cruz Piza, Iyo Alexis ;; Iyo Alexis Cruz Piza",2022,2025
534,Nemis García Arias,6,,,,Nemis García Arias,2024,2025
1125,Gabriela Liseth Vaca Altamirano,6,0000-0003-4707-7147,,,Gabriela Liseth Vaca Altamirano ;; Gabriela Liseth Vaca-Altamirano,2022,2025
929,Johanna Elizabeth Fiallos Sánchez,6,,Universidad Regional Autónoma de Los Andes,EC,"Fiallos Sánchez, Johanna Elizabeth ;; Johanna Elizabeth Fiallos Sánchez",2023,2025
1114,Verónica Alejandra Salame Ortiz,6,,,,Verónica Alejandra Salame Ortiz ;; Verónica Alejandra Salame Ortíz,2022,2025
970,Jorge David Morales Cobos,5,,,,"Jorge David Morales Cobos ;; Jorge David, Morales Cobos",2023,2024
812,Antonio Gabriel Castillo Medina,5,,,,"Antonio Gabriel Castillo Medina ;; Castillo Medina, Antonio Gabriel",2023,2025
636,Julio Rodrigo Morillo Cano,5,,,,Julio Rodrigo Morillo Cano,2024,2025
1064,Carmen Salinas Goodier,5,,,,"Carmen Salinas Goodier ;; Carmen, Salinas Goodier ;; Salinas Goodier, Carmen",2022,2025
848,Diego Xavier Chamorro Valencia,5,0000-0002-5397-1439,,,"Chamorro Valencia, Diego Xavier ;; Diego Xavier Chamorro Valencia",2023,2024
1090,Luis Antonio Llerena Ocaña,5,,Universidad Regional Autónoma de Los Andes,EC,"Antonio, Llerena Ocaña Luis ;; Llerena Ocaña, Luis Antonio ;; Luis Antonio Llerena Ocaña",2022,2024
1208,"Guerra, Darvin Manuel Ramírez",5,0000-0002-0309-9582,,,"Darvin Manuel Ramírez Guerra ;; Guerra, Darvin Manuel Ramírez ;; Ramírez Guerra, Darvin Manuel",2020,2025
746,Bolívar David Narváez Montenegro,5,,,,Bolívar David Narváez Montenegro,2023,2025
814,"Viscaino Naranjo, Fausto Alberto",5,,Universidad Regional Autónoma de Los Andes,EC,"Fausto Alberto Viscaino Naranjo ;; Fausto Alberto, Viscaino Naranjo ;; Viscaino Naranjo, Fausto Alberto",2023,2025
277,"Quiroz-Martinez, Miguel-Angel",5,,Politecnica Salesiana University,EC,"Miguel Angel Quiroz Martinez ;; Quiroz-Martinez, Miguel-Angel ;; Quiroz-Martínez, Miguel-Angel",2025,2025
810,Giovanny Vinicio Pineda Silva,5,,,,"Giovanny Vinicio Pineda Silva ;; Pineda Silva, Giovanny Vinicio",2023,2025
930,José Arturo Molina Ramón,5,0000-0002-1206-8809,,,"José Arturo Molina Ramón ;; Molina Ramón, José Arturo",2023,2025
737,Pablo Ermely Espinosa Pico,5,,,,Pablo Ermely Espinosa Pico,2023,2025
1119,Adisnay Rodríguez Plasencia,5,0000-0003-0306-458X,,,Adisnay Rodríguez Plasencia ;; Adisnay Rodríguez-Plasencia,2022,2025
1286,Katherine Tatiana Troya Terranova,5,0000-0001-8853-2340,Universidad Regional Autónoma de Los Andes,EC,"Katherine Tatiana Troya Terranova ;; Troya Terranova, Katherine Tatiana",2023,2025
1139,Fernando de Jesús Castro Sánchez,5,0000-0003-0419-5186,,,Fernando de Jesús Castro Sánchez,2021,2025
536,Yanhet Lucia Valverde Torres,5,,,,Yanhet Lucia Valverde Torres ;; Yanhet Lucía Valverde Torres,2024,2024
570,Andrés Sebastián Villacrés Quintana,4,,,,Andrés Sebastián Villacrés Quintana,2024,2025
1136,Iruma Alfonso González,4,0000-0001-6866-4944,,,Iruma Alfonso González ;; Iruma Alfonso-González,2021,2025
531,Salomón Alejandro Montece Giler,4,,,,Salomón Alejandro Montece Giler,2024,2025
535,Oswaldo Líber Andrade Salazar,4,,,,Oswaldo Liber Andrade Salazar ;; Oswaldo Líber Andrade Salazar,2024,2024
1042,Ignacio Fernando Barcos Arias,4,0000-0003-2779-5512,,,"Barcos Arias, Ignacio Fernando ;; Ignacio Fernando Barcos Arias",2022,2025
546,Santiago Xavier Peñarreta Quezada,4,,,,Santiago Xavier Peñarreta Quezada,2024,2025
1017,Mónica Sofía Pallo Sarabia,4,,,,Mónica Sofía Pallo Sarabia,2022,2024
1120,Riber Fabián Donoso Noroña,4,0000-0002-9132-3459,,,Riber Fabián Donoso Noroña,2022,2024
