doi,concept,level,score
10.5281/zenodo.18227671,Fuzzy set,3,0.5266000032424927
10.5281/zenodo.18227671,Extension (predicate logic),2,0.4869000017642975
10.5281/zenodo.18227671,Universe,2,0.4855000078678131
10.5281/zenodo.18227671,Set operations,3,0.4844000041484833
10.5281/zenodo.18227671,Computer science,0,0.46639999747276306
10.5281/zenodo.18227671,Mathematics,0,0.45410001277923584
10.5281/zenodo.18227671,Set theory,3,0.4440999925136566
10.5281/zenodo.18227671,Soft set,3,0.43540000915527344
10.5281/zenodo.18227671,Dependency (UML),2,0.4129999876022339
10.5281/zenodo.18227671,Fuzzy logic,2,0.37560001015663147
10.5281/zenodo.18227671,Discrete mathematics,1,0.37290000915527344
10.5281/zenodo.18227671,Directed acyclic graph,2,0.36160001158714294
10.5281/zenodo.18227671,Graph,2,0.3479999899864197
10.5281/zenodo.18227671,Set function,3,0.323199987411499
10.5281/zenodo.18227671,Algorithm,1,0.3160000145435333
10.5281/zenodo.18227671,Dependency graph,3,0.29319998621940613
10.5281/zenodo.18227671,Universal set,3,0.27300000190734863
10.5281/zenodo.18227671,Power set,3,0.2671000063419342
10.5281/zenodo.18227671,Graph theory,2,0.26589998602867126
10.5281/zenodo.18294378,Humanities,1,0.7069000005722046
10.5281/zenodo.18294378,Political science,0,0.6144000291824341
10.5281/zenodo.18294378,Philosophy,0,0.28139999508857727
10.5281/zenodo.18294378,Business,0,0.17299999296665192
10.5281/zenodo.18294378,Domain (mathematical analysis),2,0.13940000534057617
10.5281/zenodo.18294378,Computer science,0,0.12680000066757202
10.5281/zenodo.18294378,Context (archaeology),2,0.12309999763965607
10.5281/zenodo.18294378,Transmission channel,3,0.10830000042915344
10.5281/zenodo.18294378,Geocoding,2,0.1031000018119812
10.5281/zenodo.18294378,Open source,3,0.10270000249147415
10.5281/zenodo.18344126,Mathematics,0,0.34869998693466187
10.5281/zenodo.18344126,Philosophy,0,0.32600000500679016
10.5281/zenodo.18344126,Humanities,1,0.3084999918937683
10.5281/zenodo.18344126,Physics,0,0.23420000076293945
10.5281/zenodo.18344126,Field (mathematics),2,0.2290000021457672
10.5281/zenodo.18344126,Combinatorics,1,0.218299999833107
10.5281/zenodo.18344126,Context (archaeology),2,0.21819999814033508
10.5281/zenodo.18344126,Algebra over a field,2,0.16369999945163727
10.5281/zenodo.18344126,Principal component analysis,2,0.16359999775886536
10.5281/zenodo.18344126,Principal (computer security),2,0.1632000058889389
10.5281/zenodo.18331786,Humanities,1,0.6136000156402588
10.5281/zenodo.18331786,Philosophy,0,0.44429999589920044
10.5281/zenodo.18331786,Psychology,0,0.38499999046325684
10.5281/zenodo.18331786,Identification (biology),2,0.2700999975204468
10.5281/zenodo.18331786,Computer science,0,0.22630000114440918
10.5281/zenodo.18331786,Physics,0,0.19480000436306
10.5281/zenodo.18331786,Medicine,0,0.18230000138282776
10.5281/zenodo.18331786,Blindness,2,0.17749999463558197
10.5281/zenodo.18331786,Political science,0,0.17389999330043793
10.5281/zenodo.18331786,Sociology,0,0.17110000550746918
10.5281/zenodo.18307265,Welfare economics,1,0.4731000065803528
10.5281/zenodo.18307265,Geography,0,0.41819998621940613
10.5281/zenodo.18307265,Humanities,1,0.414900004863739
10.5281/zenodo.18307265,Political science,0,0.30149999260902405
10.5281/zenodo.18307265,Climate change,2,0.28290000557899475
10.5281/zenodo.18307265,Cartography,1,0.2786000072956085
10.5281/zenodo.18307265,Consistency (knowledge bases),2,0.2766999900341034
10.5281/zenodo.18307265,Sociology,0,0.2508000135421753
10.5281/zenodo.18307265,Principal (computer security),2,0.21739999949932098
10.5281/zenodo.18307265,Philosophy,0,0.20720000565052032
10.5281/zenodo.18330231,Philosophy,0,0.6194999814033508
10.5281/zenodo.18330231,Humanities,1,0.5407000184059143
10.5281/zenodo.18330231,Context (archaeology),2,0.22939999401569366
10.5281/zenodo.18330231,Art,0,0.21240000426769257
10.5281/zenodo.18330231,Order (exchange),2,0.15629999339580536
10.5281/zenodo.18330231,Field (mathematics),2,0.1542000025510788
10.5281/zenodo.18330231,Sociology,0,0.15049999952316284
10.5281/zenodo.18330231,Representation (politics),3,0.1379999965429306
10.5281/zenodo.18330231,Meaning (existential),2,0.13050000369548798
10.5281/zenodo.18330231,Psychology,0,0.12790000438690186
10.5281/zenodo.18354703,Humanities,1,0.6746000051498413
10.5281/zenodo.18354703,Political science,0,0.4171000123023987
10.5281/zenodo.18354703,Sociology,0,0.311599999666214
10.5281/zenodo.18354703,Context (archaeology),2,0.2231999933719635
10.5281/zenodo.18354703,Digital inclusion,3,0.18000000715255737
10.5281/zenodo.18354703,Philosophy,0,0.16910000145435333
10.5281/zenodo.18354703,Welfare economics,1,0.13860000669956207
10.5281/zenodo.18354703,Work (physics),2,0.12780000269412994
10.5281/zenodo.18354703,Art,0,0.11710000038146973
10.5281/zenodo.18354703,Risk society,2,0.11289999634027481
10.5281/zenodo.18932284,Humanities,1,0.6535999774932861
10.5281/zenodo.18932284,Political science,0,0.5992000102996826
10.5281/zenodo.18932284,Context (archaeology),2,0.41929998993873596
10.5281/zenodo.18932284,Work (physics),2,0.2712000012397766
10.5281/zenodo.18932284,Plank,2,0.23929999768733978
10.5281/zenodo.18932284,Sociology,0,0.23589999973773956
10.5281/zenodo.18932284,Welfare economics,1,0.2037000060081482
10.5281/zenodo.18932284,Geography,0,0.20170000195503235
10.5281/zenodo.18932284,Process (computing),2,0.16660000383853912
10.5281/zenodo.18932284,Christian ministry,2,0.16189999878406525
10.5281/zenodo.18905639,Political science,0,0.4860999882221222
10.5281/zenodo.18905639,Humanities,1,0.47029998898506165
10.5281/zenodo.18905639,Geography,0,0.3483000099658966
10.5281/zenodo.18905639,Work (physics),2,0.3181000053882599
10.5281/zenodo.18905639,Context (archaeology),2,0.31619998812675476
10.5281/zenodo.18905639,Welfare economics,1,0.25459998846054077
10.5281/zenodo.18905639,Cartography,1,0.20440000295639038
10.5281/zenodo.18905639,Medium term,2,0.1931000053882599
